Bloques,Speedup,Eficiencia
1,0.929314,0.929314
2,0.795511,0.397755
3,0.819198,0.273066
4,0.756312,0.189078
5,0.761163,0.152233
6,0.786431,0.131072
7,0.731974,0.104568
8,0.761287,0.0951609
9,0.712342,0.0791491
10,0.732603,0.0732603
11,0.684564,0.0622331
12,0.717081,0.0597568
13,0.771855,0.0593734
14,0.736147,0.0525819
15,0.748394,0.0498929
16,0.750578,0.0469111
17,0.712599,0.0419176
18,0.717517,0.0398621
19,0.73068,0.0384568
20,0.739456,0.0369728
21,0.745631,0.0355062
22,0.762538,0.0346608
23,0.724248,0.031489
24,0.722104,0.0300877
25,0.676105,0.0270442
26,0.717053,0.027579
27,0.699919,0.0259229
28,0.721847,0.0257803
29,0.726967,0.0250678
30,0.768785,0.0256262
31,0.746229,0.0240719
32,0.738037,0.0230637
33,0.730598,0.0221393
34,0.654926,0.0192625
35,0.778155,0.022233
36,0.77462,0.0215172
37,0.719109,0.0194354
38,0.729538,0.0191984
39,0.817169,0.0209531
40,1.02884,0.025721
41,0.999421,0.0243761
42,0.907566,0.0216087
43,0.952225,0.0221448
44,0.901355,0.0204854
45,0.969553,0.0215456
46,0.983877,0.0213886
47,0.988451,0.0210309
48,1.11088,0.0231433
49,0.94984,0.0193845
50,1.03663,0.0207326
51,1.05557,0.0206974
52,1.01738,0.0195649
53,0.809525,0.0152741
54,0.801889,0.0148498
55,0.978243,0.0177862
56,0.983426,0.0175612
57,0.817164,0.0143362
58,0.729782,0.0125825
59,0.769516,0.0130427
60,0.783333,0.0130555
61,0.838209,0.0137411
62,0.780632,0.0125908
63,0.749997,0.0119047
64,0.728196,0.0113781
65,0.760617,0.0117018
66,0.745694,0.0112984
67,0.861642,0.0128603
68,0.878913,0.0129252
69,0.806462,0.0116879
70,0.762602,0.0108943
71,0.795412,0.011203
72,0.821039,0.0114033
73,0.806446,0.0110472
74,0.845122,0.0114206
75,0.760576,0.010141
76,0.753311,0.00991199
77,0.800592,0.0103973
78,0.757473,0.00971119
79,0.775039,0.00981062
80,0.792565,0.00990706
81,0.80037,0.00988111
82,0.765853,0.00933967
83,0.788636,0.00950164
84,0.780152,0.00928753
85,0.742235,0.00873217
86,0.795793,0.00925341
87,0.750683,0.00862854
88,0.722291,0.00820785
89,0.773711,0.00869338
90,0.811004,0.00901115
91,0.756953,0.00831816
92,0.737591,0.00801729
93,0.796875,0.00856855
94,0.782442,0.00832386
95,0.780173,0.00821234
96,0.71379,0.00743531
97,0.743141,0.00766124
98,0.692545,0.00706678
99,0.714378,0.00721594
100,0.750382,0.00750382
101,0.714516,0.00707442
102,0.726461,0.00712216
103,0.762789,0.00740571
104,0.743077,0.00714498
105,0.734175,0.00699214
106,0.812943,0.00766927
107,0.723478,0.00676148
108,0.738316,0.00683626
109,0.741547,0.00680319
110,0.751964,0.00683604
111,0.731237,0.00658772
112,0.7773,0.00694018
113,0.790958,0.00699963
114,0.811511,0.00711852
115,0.74794,0.00650383
116,0.744697,0.00641981
117,0.705228,0.00602759
118,0.765772,0.00648959
119,0.7442,0.00625378
120,0.745655,0.00621379
121,0.744321,0.00615141
122,0.755756,0.00619472
123,0.698307,0.00567729
124,0.696117,0.00561385
125,0.787088,0.0062967
126,0.77035,0.00611389
127,0.790685,0.00622586
128,0.778967,0.00608568
129,0.751523,0.00582576
130,0.894043,0.00687726
131,0.82946,0.00633176
132,0.859714,0.00651298
133,0.792248,0.00595675
134,0.733259,0.00547208
135,0.76615,0.00567519
136,0.733605,0.00539415
137,0.730261,0.00533037
138,0.855335,0.00619808
139,0.802778,0.00577538
140,0.749247,0.00535177
141,0.78744,0.00558468
142,0.76164,0.00536366
143,0.771201,0.00539302
144,0.743998,0.00516666
145,0.753173,0.0051943
146,0.765734,0.00524475
147,0.691691,0.00470538
148,0.766298,0.00517769
149,0.784571,0.00526558
150,0.760304,0.00506869
